cleantext,sentiment_type_training
letter by a sex worker on currency ban redfmkolkata demonetization morningnumber1 sonagachi â via audioboom,Neutral
world bank praise modiâ s demonetization prof mmsâ s â worst is yet to comeâ claim hollow hindurajyam swapan55 â,Negative
over two month since demonetization wage woe continue in tea garden of darjeeling and dooars read â pic twitter com lgwdcjh49x,Neutral
news on impact of demonetization keep getting worse and worse is there any silver lining at all â,Negative
accept old r note till nov nhai to toll plaza â demonetization,Neutral
million in indianrupee queue up to swap currency bank cope with demonetization currencyban rs500andrs1000 â,Neutral
later argument given by modi were afterthought counterblast to the allegation of mindless demonetization â,Negative
how many economist doe it take to screw in a light bulb including bhagwati badly screwed up on demonetization â,Negative
why r u in so much hurry to write off demonetization wait until jan feb we will know the truth srinivyasan,Positive
choosing the right over the pleasant is a sign of power bhagwat gita narendramodi demonetization blackmoney,Positive
amid unending queue modi seek day to overcome demonetization crisis notebandi modi demonetization â pic twitter com yxo1dymejl,Neutral
after narendramodi s surgicalstrikeonblackmoney strike on demonetization it conduct raid in city,Positive
india set to be asia s standout economy a demonetization effect ebb hsbc say â pic twitter com 1iyhkm6aqh,Neutral
bank cashcleanup indianrupee indiafightscorruption armoured money transport vehicle for demonetization â pic twitter com vxjefove4v,Neutral
young btc is out â feed selected by amin harhara bitcoin demonetization,Neutral
you mean fake death or death which were somehow linked to demonetization â,Neutral
you ll know that the demonetization crisis ha been resolved when selfies with new note stop on your fb instagram feed,Neutral
you know the worst part of chaos is that someone is going to do something stupid hope that doesn t turn out for demonetization,Negative
you haven t read adr report or just trying to say that rest aap is finding it difficult to handle demonetization,Neutral
you can see the people s support towards the narendramodi decision demonetization iamwithmodipic twitter com n8tx5rbvml,Positive
you are talking about demonetization but we don t have common banking service like atm nationalised bank in our locality,Negative
yoga jandhan sbm ujjawala mankibaat surgicalstrike demonetization khadimodified great men do thing differently narendramodi,Positive
yes yes demonetization wa done in secret nobody knew only â,Negative
yes these people are supporting demonetization manakgupta it s like a picnic this so much fun stand in a queue and enjoy life bmkj â,Negative
yes rbi used demonetization in the 1950s i think against untaxed income didn t work a i recall pmoindia,Neutral
year old telanganawoman with rs54lakh commits suicide fearing lossofwealth due to demonetization,Negative
yeah i had tweeted that law and order situation will improve with demonetization goon can t be paid now â,Positive
yeah deepstate duly echo radiamedia next white economist with nobelist will tell u why demonetization is bad â,Negative
yea demonetization is necessary hope it can make some change in this country,Positive
writing on top economictrends gst demonetization unionbudget more want article written for your blog website a well financewriting,Neutral
would love to have a long chat with a black money hoarder and his apprehension after demonetization,Neutral
worth watching an explanation of the impact of the demonetization on india s economy â,Positive
worldbank demonetization chip away at india s gdp â india indiasrisingstar modipic twitter com lu6qbcp7cc,Neutral
world s largest democracy india took near autocratic decision of demonetization forcing million to sacrifice suffer falsedemocracy â,Negative
wonderful biting thread of demonetization â,Neutral
withdrew money for the first time from atm post demonetization no queue a such now pic twitter com txzapt0j62,Positive
with your every new tweet becoming clear that demonetization is a rod and burning for you cashrush imwithmodi,Positive
will it make any difference if people stop supporting demonetization,Neutral
will demonetization take a toll on new film release â modifightscorruption blackmoney idreammediapic twitter com k5juhnw9z4,Neutral
will demonetization help india to become tn economy by bipinsingh matsgranrydpic twitter com pvnbp88y5x,Neutral
will demonetization curb black money flow loot in capitation in med engg real estate fleecing by pvt hospital diff measure needed,Neutral
why the two bank who faced public warth during demonetization are coming out to make it failure narendramodi investigate,Negative
why so much fuss about cash withdrawal demonetization arvindkejriwal mamataofficialpic twitter com euvheqnmf0,Neutral
why do we even need to care about what opposition speaks about demonetization yes it inconvenient but we feel it for india s good,Positive
why agriculture is likely to b worst affected by demonetization here are key reason pic twitter com 4d1fadmtxx,Negative
whoever want to know the reason or the effect of demonetization please read the entire chain â,Neutral
who will bear catastrophe loss of common public by investing in realestate s sharemarkets etc bcos of demonetization,Negative
who knew that demonetization will force a realization upon some mostly felt on deathbed muglikar_ rohitazad75 derschuler beingrnair â,Positive
who is the biggest victim of the demonetization issue _ _ _,Neutral
who is affected by demonetization pic twitter com al3zqdmdbu,Neutral
whle demonetization look cool why public suffer due wrong deed of few it like if u don t find murderer den send all d people in jail,Negative
while the country praise this move a excolleague is celebrating anil bokil the brain behind demonetization being a maharashtrian,Negative
while hailing the decision of demonetization citizen ought to know the basic difference between blackmoney dirtymoney blackmoneydebate,Neutral
whether demonetization succeed or failed pl reveal the truth r surly people know by effect jantakareporter,Negative
when the pm doe nothing arey apne kuch kiya nhi when the pm doe something arey apne bina btaye sab kar diya demonetization,Neutral
when modi declared demonetization most of the people were happy then next day rahul gandhi kejriwal started playing dirty politics a usual,Positive
when knowledgeable people see swelling a growth what can anyone say unfortunate situation that led to demonetization avoidable â,Negative
when dematerialization of share happened many predicted doomsday actually mkts became deep effecient same with demonetization patience,Positive
what s amusing is that for all their source most medium people seemed to have been in the dark about demonetization,Neutral
what is the logic for new razorsharp_24 demonetization blackmoney byebyeblackmoney,Positive
what is demonetization modifightscorruption blackmoney dealsofloanpic twitter com p6zsgzoy7n,Neutral
what i absolutely cannot get over is anecdotal evidence of mound of cash kept by non tax paying janta before demonetization,Positive
what happens to unbanked small farmer demonetization,Negative
what doe the last man get is the demonetization a contradiction of pm s own methodology when the last man ha been hard hit,Negative
what do you know about the demonetization scheme why do you hate it,Negative
we welcome all the blackmoney rich to our middleclass category demonetization pic twitter com rgblbmuob5,Positive
we disagree with pm modi on demonetization doesn t mean we abuse him amishdevgan shahnawazbjp news18india aarpaar,Negative
we are seeing a similar problem here their clone here trying to incite unrest against demonetization â,Neutral
watch this to know the future benefit of demonetization,Positive
watch narendramodi powerfully seek nation s help and blessing for day for demonetization against blackmoney â,Positive
watch demonetization to benefit india in long term expert,Neutral
want blackmoneycleanup whilst kejriwal opposes want roll back demonetization â,Neutral
wallet usage soar following demonetization a atm queue lengthen â wallet atm demonetization usage digital mob,Neutral
waiting to exchange old note be like demonetization pic twitter com gvmvoxpgm3,Neutral
waiting for commentary how demonetization effect will kick in only from december â,Neutral
wait for an aaptard to say that demonetization wa done so that aap party cannot finance it s punjab and goa campaign,Neutral
vote do you think this currencyban will help reduce terrorism iamwithmodi demonetization pmblackmoneyspeech freebalochistanmovement,Neutral
viral rt scoopwhoopnews pm modi say demonetization drive is â kadak chaiâ say poor still getting sound sleep â â,Neutral
vijayshekhar paytm sir if we can go through his recent tweet which will show his support for demonetization and our pm,Neutral
vijayantony s saithan to be advanced from nov 17th date demon is backed out due to demonetization nice move â,Positive
video demonetization wa easy here come the hard part writes amannama â,Neutral
vibrant gujarat vibrating india demonetization,Neutral
very sad it could have been avoided demonetization,Negative
very interesting have a read demonetization â,Neutral
vehicle sale down in dec at 2m the lowest since demonetization,Negative
united hindustan uh demonetization inbamurugan,Neutral
unfortunately it could start in the rest of the country demonetization â,Negative
unearthing blackmoney did not work out per minimum expectation auto sector took a big hit real estate too down by demonetization,Negative
u is counting vote and india is counting note blackmoney election2016 demonetization pic twitter com o6be8qcyt2,Neutral
